date,max,min
20230714,2130.3633492904446,6.0
20230722,2540.3251760355406,6.0
20230723,2537.2268325871064,6.0
20230725,2539.3896904571384,6.0
20230801,2524.659977105828,6.0
20230814,2537.0068979015414,6.0
20230817,2524.431817261064,6.0
20230822,2515.030814920565,6.0
20230825,2527.203988600841,6.0
20230829,2519.7285568092448,6.0
20230830,2508.5812723529607,6.0
20230831,2519.32133718587,6.0
20230905,2510.5895721921574,6.0
20230908,2451.3212763732135,6.0
20230914,2103.750935828669,6.0
20230919,2332.341312929992,6.0
20230924,1616.718899499848,6.0
20230925,1520.8550226763891,6.0
20230926,1448.1022063376604,6.0
20230929,1442.1234343841722,6.0
20231001,1395.306417959869,6.0
20231003,1393.2925033890047,6.0
20231005,1268.2586486990735,6.0
20231006,1338.8607097080712,6.0
20231008,1315.533351914728,6.0
20231009,1342.713670147139,6.0
20231010,1246.6290546910898,6.0
20231011,1217.2312845141632,6.0
20231020,1043.1030629808351,6.0
20231021,1233.171520916697,6.0
20231028,1178.9503806352498,6.0
