,ds,change,maxJune,maxOct,max,min
0,DS_00,854.9770277480532,1633.9840880498195,779.0070603017664,1679.357019814429,779.0070603017664
1,DS_01,336.63977553658265,1914.263304772883,1577.6235292363003,1916.133607032662,1104.016304227433
2,DS_02,251.51148422132746,1614.7135968957468,1363.2021126744194,1614.7135968957468,1192.793360142485
3,DS_03,868.0120677273976,1942.8329830430607,1074.8209153156631,2032.973192149862,1074.8209153156631
4,DS_04,568.3877914301825,1683.4357724605952,1115.0479810304128,1683.4357724605952,898.0979901992878
5,DS_05,600.827586772931,1728.843544106869,1128.015957333938,1912.2782224352184,1110.259429142577
6,DS_06,578.488500244393,1872.0,1293.511499755607,1872.0,865.3323061113574
7,DS_07,131.2849040780211,1534.8745877106703,1403.5896836326492,1676.7933683074966,856.5722386348978
8,DS_08,637.073226468809,1739.016963689544,1101.9437372207349,1846.8015594535327,748.3421677281056
9,DS_09,467.3491978473123,1713.6172268041655,1246.2680289568532,1721.592286228072,999.5358923020224
10,DS_10,302.7213619720517,1558.198960338506,1255.4775983664542,1569.7770542341354,1230.3657992645926
11,DS_11,605.8000130701871,2136.0,1530.199986929813,2146.533018613969,1309.9389298742135
12,DS_12,1193.711099732093,2113.6697944570246,919.9586947249315,2117.285998631267,0.0
13,DS_13,1840.8851188828917,2375.424172647909,534.5390537650172,2545.937941113255,534.5390537650172
14,DS_14,440.5072434267472,2070.034782316471,1629.527538889724,2078.3397219896465,1179.7287823902575
15,DS_15,318.5184461692536,1575.2714051870553,1256.7529590178017,1584.284065437761,620.2096419760015
16,DS_16,432.93274090941384,1439.824989365027,1006.8922484556132,1467.6961538411142,750.0
17,DS_17,590.3036786386813,2025.922012319329,1435.6183336806478,2116.172015692486,844.8076704197233
18,DS_18,917.1689087401214,2015.7589141561548,1098.5900054160334,2015.7589141561548,931.5664227525592
19,DS_19,610.2093240779957,1642.488356123111,1032.2790320451154,1740.50682273871,1032.2790320451154
20,DS_20,1036.1589474891823,2189.5643402284395,1153.4053927392572,2206.3771209836277,1153.4053927392572
21,DS_21,1384.7998546791305,2443.591618908528,1058.7917642293974,2453.911978861508,117.881296226331
22,DS_22,527.3495253550843,2028.8607640742623,1501.511238719178,2039.9735292400244,1431.8896605534935
23,DS_23,1151.3291460026685,2454.821378430618,1303.4922324279496,2454.821378430618,1282.162236224418
24,DS_24,1695.5962399439445,2891.539382405157,1195.9431424612126,2903.485491611763,858.8177920839787
25,DS_25,428.49601520214856,1957.84881949552,1529.3528042933715,2057.7900767571023,1383.517256849368
26,DS_26,1379.707442468868,2748.7728170949304,1369.0653746260623,2752.2281882140514,1139.715754036944
27,DS_27,819.6244411357166,2263.4319075245007,1443.8074663887842,2278.3019992968448,1411.5693394233242
28,DS_28,229.9910698939441,1715.7272510512853,1485.7361811573412,2406.269311610818,990.7815097184648
29,DS_29,574.238239756964,2423.0270324534144,1848.7887926964504,2426.404747769836,1846.9574981574428
30,DS_30,156.16154028718938,1680.2678357928537,1524.1062955056643,2160.833172644293,1524.1062955056643
31,DS_31,352.3369976445156,2507.7487912468423,2155.4117936023267,2511.765116407185,2155.4117936023267
32,DS_32,1774.3592267353679,2972.738131756647,1198.378905021279,3086.2404313338907,1198.378905021279
33,DS_33,1361.3747954002909,2540.3251760355406,1178.9503806352498,2540.3251760355406,1043.1030629808351
34,DS_34,610.44130134181,2538.113472640654,1927.672171298844,2590.34669494259,1720.4104161507507
