,id,imsize,masksize
0,DS_00,3474496,1351815
1,DS_01,7236100,3273940
2,DS_02,21003889,5552902
3,DS_03,5391684,1435171
4,DS_04,2418025,1799604
5,DS_05,18301284,5839705
6,DS_06,27331984,2824350
7,DS_07,10890000,2394693
8,DS_08,26708224,5238022
9,DS_09,21261321,3485722
10,DS_10,13667809,5068818
11,DS_11,5152900,3087914
12,DS_12,14814801,3087348
13,DS_13,6791236,3572260
14,DS_14,3031081,4124178
15,DS_15,14318656,5532470
16,DS_16,11546404,2952985
17,DS_17,6796449,3333149
18,DS_18,19492225,4759641
19,DS_19,4665600,2446236
20,DS_20,2900209,2472189
21,DS_21,8702500,3711725
22,DS_22,21576025,1258609
23,DS_23,33570436,8159651
24,DS_24,4532641,3525286
25,DS_25,5405625,2976135
26,DS_26,5788836,4525234
27,DS_27,6890625,1935455
28,DS_28,27510025,5611990
29,DS_29,28440889,7192621
30,DS_30,6215049,1480774
31,DS_31,2439844,1647933
32,DS_32,11566801,4825005
33,DS_33,5424241,3410216
34,DS_34,6345361,3412717
