date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230701,505265,408594,0,0,913859,946461,962010,1560.0256408149194,0.0,505265
20230702,512310,473893,0,0,986203,1011527,1052288,1612.4031753875952,0.0,512310
20230703,513635,477959,0,0,991594,1019039,1058886,1622.7593783429509,0.0,513635
20230704,515526,477918,0,0,993444,1021826,1066156,1631.404303046918,0.0,515526
20230705,512631,474069,0,0,986700,1015998,1057499,1648.914794645254,0.0,512631
20230706,524664,480661,0,0,1005325,1005325,1103869,1685.9952550348414,0.0,524664
20230707,521792,491151,0,0,1012943,1012943,1104871,1653.2936823202344,0.0,521792
20230710,524267,494030,0,0,1018297,1050661,1107202,1651.3606510995712,0.0,524267
20230712,523900,486445,0,0,1010345,1031382,1097300,1653.7000937292107,0.0,523900
20230717,536613,503379,0,0,1039992,1039992,1147209,1813.7651446645457,0.0,536613
20230723,545911,524545,0,0,1070456,1079993,1219638,1816.2488816238815,0.0,545911
20230724,542875,518793,0,0,1061668,1061668,1189438,1812.4127565209862,0.0,542875
20230726,537834,498066,0,0,1035900,1035900,1156402,1715.0078717020515,0.0,537834
20230727,546873,525253,0,0,1072126,1084590,1201427,1859.5913529590312,0.0,546873
20230728,544992,488631,0,0,1033623,1033623,1154193,1849.5491342486687,0.0,544992
20230801,598216,5869,0,0,604085,598216,1293601,1823.4176702006591,0.0,598216
20230802,609093,559732,0,0,1168825,1168825,1302840,1831.5916575481556,0.0,609093
20230807,552898,534164,0,0,1087062,1105796,1236752,1857.0794274882267,0.0,552898
20230810,542408,511230,0,0,1053638,1060664,1225070,1617.8121028104592,0.0,542408
20230817,642644,241,0,0,642885,642644,1406361,1880.6605222633882,0.0,642644
20230818,648002,150,0,0,648152,648002,1513186,1899.9473676920632,0.0,648002
20230819,630676,1430,0,0,632106,630676,1349904,1878.2385365016873,0.0,630676
20230821,645882,28,0,0,645910,645882,1522462,1869.0371852908652,0.0,645882
20230822,632220,454,0,0,632674,632220,1455031,1879.0816906137954,0.0,632220
20230823,644598,174,0,0,644772,644598,1443887,1870.350769240893,0.0,644598
20230824,642430,206,0,0,642636,642430,1408826,1874.2219719126122,0.0,642430
20230829,638996,435,0,0,639431,638996,1364103,1899.9473676920632,0.0,638996
20230901,655019,3480,0,0,658499,655019,1411211,1918.3878648490247,0.0,655019
20230903,657698,3567,0,0,661265,657698,1445617,1877.7656935837335,0.0,657698
20230905,702318,1259,0,0,703577,702318,1560914,2001.191644995551,0.0,702318
20230909,708887,322,0,0,709209,708887,1523731,2100.892191427252,0.0,708887
20230916,689162,1060,0,0,690222,689162,1503701,2021.4707517053023,0.0,689162
20230918,690844,4819,0,0,695663,690844,1517502,2008.9081611661595,0.0,690844
20230919,698373,679,0,0,699052,698373,1497984,2005.138399213381,0.0,698373
20230921,718128,327,0,0,718455,718128,1557650,2097.8550950911745,0.0,718128
20230922,707573,2270,0,0,709843,707573,1560962,2002.256726796042,0.0,707573
20230923,708229,337,0,0,708566,708229,1528270,2096.7832506007862,0.0,708229
20230924,702069,234,0,0,702303,702069,1539853,2094.2368538443784,0.0,702069
20230928,718622,311,0,0,718933,718622,1599709,2092.8000382262994,0.0,718622
20231002,707220,454,0,0,707674,707220,1584033,2097.3602456421263,0.0,707220
20231003,713253,452,0,0,713705,713253,1569795,2093.0064500617286,0.0,713253
20231005,719254,313,0,0,719567,719254,1643542,2094.717164678802,0.0,719254
20231009,747451,578,0,0,748029,747451,1730838,2128.497122384712,0.0,747451
20231019,707037,514,0,0,707551,707037,1630352,2001.4244927051332,0.0,707037
20231021,707383,853,0,0,708236,707383,1593758,1996.9987481217909,0.0,707383
