date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20220408,1745192,0,0,0,1745192,1745192,1756983,3274.5814999782797,0.0,1745192
20220413,1692070,0,0,0,1692070,1692070,1706612,3277.65037793844,0.0,1692070
20220425,1537654,0,0,0,1537654,1572785,1563490,3164.1618163425205,0.0,1537654
20220521,1667482,0,0,0,1667482,1667482,1673597,3269.9186534224364,0.0,1667482
20220522,1657245,0,0,0,1657245,1657245,1671405,3272.2750495641408,0.0,1657245
20220523,1656752,0,0,0,1656752,1656752,1665345,3268.130964328082,0.0,1656752
20220524,1682778,0,0,0,1682778,1682778,1692806,3276.2722719578724,0.0,1682778
20220530,1680785,0,0,0,1680785,1680785,1697508,3280.4207047267582,0.0,1680785
20220602,1679007,0,0,0,1679007,1679007,1701966,3270.2764409144374,0.0,1679007
20220610,1736543,0,0,0,1736543,1736543,1810126,3310.398767520312,0.0,1736543
20220618,1705419,0,0,0,1705419,1705419,1726972,3294.8080368968385,0.0,1705419
20220619,1690877,0,0,0,1690877,1690877,1718177,3283.6473623091747,0.0,1690877
20220623,1688948,0,0,0,1688948,1688948,1712483,3280.34449410424,0.0,1688948
20220624,1695460,0,0,0,1695460,1695460,1726711,3290.4905409376274,0.0,1695460
20220626,1689114,0,0,0,1689114,1689114,1716106,3285.9780887887855,0.0,1689114
20220628,1709909,0,0,0,1709909,1709909,1773176,3306.797846860313,0.0,1709909
20220629,1690037,0,0,0,1690037,1690037,1725329,3289.906989566726,0.0,1690037
20220630,1710332,0,0,0,1710332,1710332,1741291,3284.1205824390795,0.0,1710332
20220707,1670580,0,0,0,1670580,1729504,1863973,3326.0234515108277,0.0,1670580
20220708,1711947,0,0,0,1711947,1743547,1812840,3306.5565169825845,0.0,1711947
20220711,1743432,0,0,0,1743432,1823928,1944397,3321.210622649518,0.0,1743432
20220714,1708207,0,0,0,1708207,1835197,1880458,3310.9611897453583,0.0,1708207
20220717,1699383,0,0,0,1699383,1819390,1873170,3312.397319163267,0.0,1699383
20220718,1691729,0,0,0,1691729,1719904,1809127,3318.469526754766,0.0,1691729
20220719,1727959,0,0,0,1727959,1870867,1946018,3328.945178280952,0.0,1727959
20220720,1740668,0,0,0,1740668,1854042,1983722,3331.200984630018,0.0,1740668
20220723,1731784,0,0,0,1731784,1849889,1974162,3317.3929523045654,0.0,1731784
20220724,1746024,0,0,0,1746024,1896818,2025407,3327.473516047874,0.0,1746024
20220725,1739874,0,0,0,1739874,1887183,2017576,3326.86338763707,0.0,1739874
20220726,1752639,0,0,0,1752639,1909139,2052698,3333.32566665785,0.0,1752639
20220728,1805957,0,0,0,1805957,1998933,2205638,3367.0479652063173,0.0,1805957
20220729,1741372,0,0,0,1741372,1894690,2038933,3327.5636733201663,0.0,1741372
20220803,1748531,0,0,0,1748531,1924063,2091612,3341.056120450538,0.0,1748531
20220805,1775748,0,0,0,1775748,1959502,2144343,3365.427164566186,0.0,1775748
20220806,1762015,0,0,0,1762015,1946606,2132602,3379.479841632437,0.0,1762015
20220807,1766835,0,0,0,1766835,1865841,2035029,3349.3760612985816,0.0,1766835
20220812,1766522,0,0,0,1766522,1948270,2117518,3351.3185464828616,0.0,1766522
20220813,1836313,0,0,0,1836313,2067106,2297226,3420.5479093268086,0.0,1836313
20220816,1789052,0,0,0,1789052,1995874,2197322,3369.544182823546,0.0,1789052
20220818,1772857,0,0,0,1772857,1982639,2146463,3357.5497017914718,0.0,1772857
20220823,1806846,0,0,0,1806846,2027027,2234840,3359.429713507934,0.0,1806846
20220901,1829454,0,0,0,1829454,2043232,2289892,3393.7189040932662,0.0,1829454
20220908,1801079,0,0,0,1801079,1996218,2222451,3397.592088523871,0.0,1801079
20220910,1714430,0,0,0,1714430,1720562,2415391,4599.952173664417,262.0686932847951,1714430
20220920,1698487,0,0,0,1698487,1707313,2438422,4630.723485590562,245.42208539575245,1698487
20220921,1580546,0,0,0,1580546,1580546,2547703,4686.140416163391,220.33610689126738,1580546
20220924,1699384,0,0,0,1699384,1699384,2433531,4578.054171807057,256.9435735720977,1699384
20220925,1624694,0,0,0,1624694,1633802,2509130,4639.233126282834,246.64144015148793,1624694
20220926,1695455,0,0,0,1695455,1702857,2439654,4610.267237373556,259.5149321330085,1695455
20220930,1764853,0,0,0,1764853,1764853,2378299,4579.461977132249,290.68883707497264,1764853
20221003,1624519,0,0,0,1624519,1624519,2497008,4555.947760894543,271.1825953117198,1624519
20221005,1755908,0,0,0,1755908,1755908,2384465,4549.399081197428,290.24127893874777,1755908
20221006,1685357,0,0,0,1685357,1685357,2441891,4552.395413406001,269.46613887462746,1685357
20221007,1724538,0,0,0,1724538,1730758,2419667,4588.94541261933,268.4250360901531,1724538
20221012,1754485,0,0,0,1754485,1754485,2386279,4585.937635860305,283.13247782619356,1754485
20221105,1788360,0,0,0,1788360,1999147,2192218,3355.0064083396323,0.0,1788360
20221106,1773718,0,0,0,1773718,1977992,2154666,3350.761107569443,0.0,1773718
20221124,1689876,0,0,0,1689876,1915889,2430814,4554.853674927439,317.0678160898706,1689876
20221203,1752036,0,0,0,1752036,1898490,2040751,3338.3786483860695,0.0,1752036
20221218,1726303,0,0,0,1726303,1737200,1851122,3315.448687583628,0.0,1726303
