date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20220110,1328013,0,0,0,1328013,1328013,1335253,2382.7555476800385,0.0,1328013
20220303,1324059,0,0,0,1324059,1324059,1339592,2309.567058996123,0.0,1324059
20220603,1307885,0,0,0,1307885,1307885,1315660,2315.482671064502,0.0,1307885
20220608,1313041,0,0,0,1313041,1313041,1326053,2307.542415644835,0.0,1313041
20220617,1321479,0,0,0,1321479,1321479,1337626,2316.473181368608,0.0,1321479
20220625,1324171,0,0,0,1324171,1324171,0,2313.6084370523895,0.0,1324171
20220629,1394947,0,0,0,1394947,1394947,1516193,2342.433777078874,0.0,1394947
20220630,1318527,0,0,0,1318527,1318527,1330407,2317.386458923069,0.0,1318527
20220702,1299671,0,0,0,1299671,1299671,0,2332.497374060687,0.0,1299671
20220707,1315451,0,0,0,1315451,1315451,1333312,2313.9930855557886,0.0,1315451
20220708,1308862,0,0,0,1308862,1308862,0,2312.755067014231,0.0,1308862
20220710,1308218,0,0,0,1308218,1308218,0,2311.6608747824584,0.0,1308218
20220712,1307443,0,0,0,1307443,1307443,0,2312.755067014231,0.0,1307443
20220713,1327815,0,0,0,1327815,1327815,0,2318.0759262802417,0.0,1327815
20220714,1309084,0,0,0,1309084,1309084,0,2318.8488523403157,0.0,1309084
20220718,1317244,0,0,0,1317244,1317244,0,2315.5612710528735,0.0,1317244
20220719,1315326,0,0,0,1315326,1315326,0,2347.5127262700835,0.0,1315326
20220722,1320713,0,0,0,1320713,1320713,1338774,2314.7362700748436,0.0,1320713
20220724,1312839,0,0,0,1312839,1312839,1325809,2385.891866786925,0.0,1312839
20220725,1305475,0,0,0,1305475,1305475,1314877,2302.0860105565125,0.0,1305475
20220726,1289889,0,0,0,1289889,1289889,1304998,2382.45923364913,0.0,1289889
20220727,1316501,0,0,0,1316501,1316501,1326693,2308.2894099310856,0.0,1316501
20220728,1340572,0,0,0,1340572,1340572,0,2384.5385297788753,0.0,1340572
20220731,1321499,0,0,0,1321499,1321499,1339412,2403.039741660549,0.0,1321499
20220805,1323949,0,0,0,1323949,1323949,0,2400.3083135297434,0.0,1323949
20220806,1329131,0,0,0,1329131,1329131,0,2410.2423114699486,0.0,1329131
20220808,1317855,0,0,0,1317855,1317855,0,2320.028448101445,0.0,1317855
20220809,1321884,0,0,0,1321884,1321884,0,2352.697175583802,0.0,1321884
20220818,1306657,0,0,0,1306657,1306657,0,2314.7362700748436,0.0,1306657
20220822,1345805,0,0,0,1345805,1345805,1396858,2332.093480116095,0.0,1345805
20220828,1321755,0,0,0,1321755,1321755,1338797,2325.164080231759,0.0,1321755
20220901,1356980,0,0,0,1356980,1389314,0,2447.3177153773886,0.0,1356980
20220905,1341692,0,0,0,1341692,1389684,1430781,2495.7563983690397,0.0,1341692
20220907,1320505,0,0,0,1320505,1320505,0,2326.395495181333,0.0,1320505
20220909,1337596,0,0,0,1337596,1337596,1367673,2391.0876186371756,0.0,1337596
20220910,1307644,0,0,0,1307644,1307644,0,2324.092941342923,0.0,1307644
20220911,1335502,0,0,0,1335502,1392851,0,2537.794317906792,0.0,1335502
20220914,1334883,0,0,0,1334883,1393712,1414103,2530.6599929662616,0.0,1334883
20220915,1427162,0,0,0,1427162,1427162,1442082,3086.6635709127745,0.0,1427162
20220919,1332503,0,0,0,1332503,1332503,1357215,2326.1521876265965,0.0,1332503
20220920,1417819,0,0,0,1417819,1417819,0,2938.2348442559864,0.0,1417819
20220925,1583802,0,0,0,1583802,1583802,1677056,3288.3235850505953,0.0,1583802
20220926,1319226,0,0,0,1319226,1319226,1339803,2334.849888108441,0.0,1319226
20220929,1501751,0,0,0,1501751,1501751,0,3248.8477957577516,0.0,1501751
20221004,1492851,0,0,0,1492851,1492851,1525035,3095.713811061998,0.0,1492851
20221005,1540200,0,0,0,1540200,1540200,1591057,3304.9841149391323,0.0,1540200
20221006,1565639,0,0,0,1565639,1565639,1615506,3264.9655434629017,0.0,1565639
20221008,1595910,0,0,0,1595910,1595910,1663924,3346.0215181615313,0.0,1595910
20221014,1339406,0,0,0,1339406,1339406,0,2331.900512457596,0.0,1339406
20221018,1342,0,0,0,1342,0,1664599,77.17512552629896,0.0,1342
20221105,1583621,0,0,0,1583621,1583621,1631945,3285.5860968783027,0.0,1583621
20221106,1585166,0,0,0,1585166,1585166,0,3264.0961995627517,0.0,1585166
20221110,1588650,0,0,0,1588650,1588650,1656178,3236.3979977746867,0.0,1588650
20221120,1583413,0,0,0,1583413,1583413,0,3294.598002791843,0.0,1583413
20221208,1542443,0,0,0,1542443,1542443,1592899,3158.8605540605936,0.0,1542443
