date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230706,276145,99327,0,0,375472,404190,418701,1595.054857990784,2.0,276145
20230711,320874,123576,0,0,444450,486311,495657,1560.4627518784291,0.0,320874
20230713,426976,41578,0,0,468554,468554,475758,1908.994499730159,0.0,426976
20230717,464494,46992,0,0,511486,511486,532432,1883.5126758267384,0.0,464494
20230720,513206,421,0,0,513627,513206,534642,1818.5356746569478,0.0,513206
20230721,513305,1037,0,0,514342,513305,532044,1822.7451824103116,0.0,513305
20230723,513235,805,0,0,514040,513235,529396,1822.636551811688,0.0,513235
20230724,503386,413,0,0,503799,503386,522253,1829.074082698675,0.0,503386
20230725,523259,421,0,0,523680,523259,544132,1818.6423507660872,0.0,523259
20230727,522174,1540,0,0,523714,522174,541764,1822.9690068676427,0.0,522174
20230728,519498,160,0,0,519658,519498,540742,1824.9657531033288,0.0,519498
20230729,499436,150,0,0,499586,499436,515343,1833.067374648297,0.0,499436
20230730,528257,237,0,0,528494,528257,553332,1816.9788111037508,0.0,528257
20230731,464618,43532,0,0,508150,508150,526042,1881.2166276109724,0.0,464618
20230808,504319,1609,0,0,505928,504319,526432,1840.2021628071193,0.0,504319
20230810,466669,6715,0,0,473384,473384,501633,1571.4719214799861,0.0,466669
20230812,608153,6007,0,0,614160,614160,649034,1839.5358110132024,0.0,608153
20230814,480257,46282,0,0,526539,526539,551108,1877.8413138494957,0.0,480257
20230816,491665,51528,0,0,543193,543193,573111,1865.5658658969937,0.0,491665
20230817,584768,3338,0,0,588106,584768,622961,1825.3175066272718,0.0,584768
20230818,583856,4087,0,0,587943,583856,627181,1843.4055440949503,0.0,583856
20230819,592397,8157,0,0,600554,600554,646821,1855.3835183055821,0.0,592397
20230825,560760,8768,0,0,569528,575852,604773,1871.598247487959,0.0,560760
20230830,557365,139,0,0,557504,557365,595331,1804.7725618481682,0.0,557365
20230903,687482,4809,0,0,692291,687482,749016,2085.804401184349,0.0,687482
20230904,738940,4510,0,0,743450,738940,800894,2056.6944352528403,0.0,738940
20230908,784081,6212,0,0,790293,790293,850723,2141.5779229343957,0.0,784081
20230909,808898,4683,0,0,813581,808898,872870,2152.449767125821,0.0,808898
20230924,1086303,14504,0,0,1100807,1100807,1232467,2408.6261644348215,0.0,1086303
20230926,1048408,13825,0,0,1062233,1062233,1168153,2404.643840571822,0.0,1048408
20230930,850277,10643,0,0,860920,869365,1025496,1996.5299897572288,0.0,850277
20231001,1364396,732,0,0,1365128,1364396,1548525,2715.8416743249227,0.0,1364396
20231002,1490822,276,0,0,1491098,1490822,1716383,2731.483113621609,0.0,1490822
20231008,1365984,790,0,0,1366774,1365984,1561306,2737.5463466396327,0.0,1365984
20231013,1284663,6652,0,0,1291315,1291315,1459841,2698.8567950152524,0.0,1284663
20231021,1460537,273,0,0,1460810,1460537,1646736,2742.8955503263337,0.0,1460537
20231027,1468682,479,0,0,1469161,1468682,1648217,2734.9968921371737,0.0,1468682
