id,date,precip,runoff
20230701,01/07/2023,8.583068797918258E-7,0
20230702,02/07/2023,0,0
20230703,03/07/2023,1.7136334804490616E-6,0
20230704,04/07/2023,4.351138045421976E-7,0
20230705,05/07/2023,8.642672923997452E-7,0
20230706,06/07/2023,8.523463748133508E-7,0
20230707,07/07/2023,1.986622800131954E-5,5.960464477539063E-8
20230708,08/07/2023,8.325486433591323E-6,2.2351741790771484E-8
20230709,09/07/2023,1.1213742254767567E-6,0
20230710,10/07/2023,9.23000862940171E-6,2.9802322387695312E-8
20230711,11/07/2023,1.7057753893823246E-6,0
20230712,12/07/2023,4.873082730227907E-6,1.4901161193847656E-8
20230713,13/07/2023,3.1778138941263023E-4,9.685754776000977E-7
20230714,14/07/2023,2.2464990610870927E-5,5.960464477539063E-8
20230715,15/07/2023,7.152557373046875E-7,0
20230716,16/07/2023,3.1566619873046875E-4,9.5367431640625E-7
20230717,17/07/2023,2.82841920750343E-4,8.195638656616211E-7
20230718,18/07/2023,2.863669635644328E-6,0
20230719,19/07/2023,2.5636868485889863E-6,0
20230720,20/07/2023,8.583068833445395E-7,0
20230721,21/07/2023,8.52346317969932E-7,0
20230722,22/07/2023,1.2814998058274796E-6,0
20230723,23/07/2023,2.1517275854421314E-6,0
20230724,24/07/2023,8.583068833445395E-7,0
20230725,25/07/2023,1.3033691175223794E-6,0
20230726,26/07/2023,8.494699841321562E-7,0
20230727,27/07/2023,4.4107436991680515E-7,0
20230728,28/07/2023,0,0
20230729,29/07/2023,1.714587710921478E-6,0
20230730,30/07/2023,0,0
20230731,31/07/2023,8.523463748133508E-7,0
20230801,01/08/2023,2.139555988378561E-6,0
20230802,02/08/2023,1.9937753563681326E-6,0
20230803,03/08/2023,2.6184320347510948E-5,5.960464477539063E-8
20230804,04/08/2023,9.032487868765315E-5,2.2351741790771484E-7
20230805,05/08/2023,1.5997886652741045E-5,4.470348358154297E-8
20230806,06/08/2023,0,0
20230807,07/08/2023,8.463859444418631E-7,0
20230808,08/08/2023,1.257152568427955E-4,2.682209014892578E-7
